Far field
"Theta"[deg]	"Phi = 0 deg [V]"	"Phi = 90 deg [V]"	
-1.80000000E+2	2.55028123E-1	2.55028123E-1	
-1.75000000E+2	2.66197690E-1	2.53434302E-1	
-1.70000000E+2	2.70051815E-1	2.49010923E-1	
-1.65000000E+2	2.66329819E-1	2.42729000E-1	
-1.60000000E+2	2.55310145E-1	2.35836004E-1	
-1.55000000E+2	2.37680594E-1	2.29398299E-1	
-1.50000000E+2	2.14417710E-1	2.23891391E-1	
-1.45000000E+2	1.86701684E-1	2.19036325E-1	
-1.40000000E+2	1.55935385E-1	2.13964542E-1	
-1.35000000E+2	1.24058075E-1	2.07600738E-1	
-1.30000000E+2	9.47535429E-2	1.99067029E-1	
-1.25000000E+2	7.67477525E-2	1.87991627E-1	
-1.20000000E+2	8.33692883E-2	1.74743800E-1	
-1.15000000E+2	1.14516283E-1	1.60713595E-1	
-1.10000000E+2	1.59954391E-1	1.48749736E-1	
-1.05000000E+2	2.14307272E-1	1.43536047E-1	
-1.00000000E+2	2.75963909E-1	1.50745115E-1	
-9.50000000E+1	3.44695749E-1	1.74155783E-1	
-9.00000000E+1	4.20748663E-1	2.13937806E-1	
-8.50000000E+1	5.04496779E-1	2.68479295E-1	
-8.00000000E+1	5.96274036E-1	3.36452981E-1	
-7.50000000E+1	6.96263011E-1	4.17308477E-1	
-7.00000000E+1	8.04402034E-1	5.11011798E-1	
-6.50000000E+1	9.20299278E-1	6.17677777E-1	
-6.00000000E+1	1.04315396E+0	7.37245527E-1	
-5.50000000E+1	1.17169055E+0	8.69200252E-1	
-5.00000000E+1	1.30411482E+0	1.01233430E+0	
-4.50000000E+1	1.43810173E+0	1.16455465E+0	
-4.00000000E+1	1.57082446E+0	1.32275663E+0	
-3.50000000E+1	1.69903124E+0	1.48279048E+0	
-3.00000000E+1	1.81917229E+0	1.63954607E+0	
-2.50000000E+1	1.92757354E+0	1.78717220E+0	
-2.00000000E+1	2.02064689E+0	1.91942963E+0	
-1.50000000E+1	2.09512070E+0	2.03015444E+0	
-1.00000000E+1	2.14826903E+0	2.11378481E+0	
-5.00000000E+0	2.17811602E+0	2.16588503E+0	
0.00000000E+0	2.18359238E+0	2.18359238E+0	
5.00000000E+0	2.16462574E+0	2.16591780E+0	
1.00000000E+1	2.12215367E+0	2.11385189E+0	
1.50000000E+1	2.05805779E+0	2.03025861E+0	
2.00000000E+1	1.97502659E+0	1.91957426E+0	
2.50000000E+1	1.87636299E+0	1.78736053E+0	
3.00000000E+1	1.76575832E+0	1.63978039E+0	
3.50000000E+1	1.64705630E+0	1.48307147E+0	
4.00000000E+1	1.52402951E+0	1.32308284E+0	
4.50000000E+1	1.40018653E+0	1.16492221E+0	
5.00000000E+1	1.27862173E+0	1.01273695E+0	
5.50000000E+1	1.16191306E+0	8.69629409E-1	
6.00000000E+1	1.05206677E+0	7.37690607E-1	
6.50000000E+1	9.50503377E-1	6.18126414E-1	
7.00000000E+1	8.58076029E-1	5.11449994E-1	
7.50000000E+1	7.75112101E-1	4.17720487E-1	
8.00000000E+1	7.01469727E-1	3.36820851E-1	
8.50000000E+1	6.36603784E-1	2.68782049E-1	
9.00000000E+1	5.79638717E-1	2.14151157E-1	
9.50000000E+1	5.29447890E-1	1.74256042E-1	
1.00000000E+2	4.84740015E-1	1.50724489E-1	
1.05000000E+2	4.44152765E-1	1.43422613E-1	
1.10000000E+2	4.06353050E-1	1.48597675E-1	
1.15000000E+2	3.70143953E-1	1.60570161E-1	
1.20000000E+2	3.34581120E-1	1.74635729E-1	
1.25000000E+2	2.99107144E-1	1.87929140E-1	
1.30000000E+2	2.63722309E-1	1.99049617E-1	
1.35000000E+2	2.29224047E-1	2.07620738E-1	
1.40000000E+2	1.97547744E-1	2.14009499E-1	
1.45000000E+2	1.72117055E-1	2.19091417E-1	
1.50000000E+2	1.57539292E-1	2.23942517E-1	
1.55000000E+2	1.57267851E-1	2.29435475E-1	
1.60000000E+2	1.70274501E-1	2.35855693E-1	
1.65000000E+2	1.91505649E-1	2.42734050E-1	
1.70000000E+2	2.15343433E-1	2.49008086E-1	
1.75000000E+2	2.37480962E-1	2.53430685E-1	
1.80000000E+2	2.55028123E-1	2.55028123E-1	
