Excitation
"Frequency"[Hz]	"Real []"	"Imaginary []"	
8.00000000E+9	-2.55922833E-1	9.15594020E-1	
8.13793103E+9	-2.06820153E-1	9.20091351E-1	
8.27586207E+9	-1.54785982E-1	9.20745387E-1	
8.41379310E+9	-9.95118445E-2	9.16569103E-1	
8.55172414E+9	-4.07266014E-2	9.06164328E-1	
8.68965517E+9	2.16744311E-2	8.87528298E-1	
8.82758621E+9	8.73664068E-2	8.57789966E-1	
8.96551724E+9	1.54992729E-1	8.12897616E-1	
9.10344828E+9	2.21027552E-1	7.47414954E-1	
9.24137931E+9	2.77595274E-1	6.55063330E-1	
9.37931034E+9	3.09403853E-1	5.31592192E-1	
9.51724138E+9	2.92204992E-1	3.82831793E-1	
9.65517241E+9	2.01497687E-1	2.37466718E-1	
9.79310345E+9	3.95268438E-2	1.47767939E-1	
9.93103448E+9	-1.44776910E-1	1.53583355E-1	
1.00689655E+10	-2.88786110E-1	2.42254523E-1	
1.02068966E+10	-3.65661754E-1	3.66714651E-1	
1.03448276E+10	-3.85070464E-1	4.88461630E-1	
1.04827586E+10	-3.67577132E-1	5.90819385E-1	
1.06206897E+10	-3.29872232E-1	6.71091689E-1	
1.07586207E+10	-2.82315785E-1	7.31963042E-1	
1.08965517E+10	-2.30659559E-1	7.77198882E-1	
1.10344828E+10	-1.77908624E-1	8.10154381E-1	
1.11724138E+10	-1.25596279E-1	8.33446131E-1	
1.13103448E+10	-7.44797946E-2	8.49034490E-1	
1.14482759E+10	-2.49383696E-2	8.58380373E-1	
1.15862069E+10	2.28402073E-2	8.62609383E-1	
1.17241379E+10	6.87879231E-2	8.62644526E-1	
1.18620690E+10	1.12978593E-1	8.59283464E-1	
1.20000000E+10	1.55654583E-1	8.53195285E-1	
