Far field
"Theta"[deg]	"Phi = 0 deg []"	"Phi = 90 deg []"	
-1.80000000E+2	8.38047695E-2	8.38047695E-2	
-1.75000000E+2	9.13063857E-2	8.27605518E-2	
-1.70000000E+2	9.39694716E-2	7.98967993E-2	
-1.65000000E+2	9.13970488E-2	7.59164545E-2	
-1.60000000E+2	8.39902224E-2	7.16659400E-2	
-1.55000000E+2	7.27913938E-2	6.78067565E-2	
-1.50000000E+2	5.92398419E-2	6.45903108E-2	
-1.45000000E+2	4.49147570E-2	6.18194127E-2	
-1.40000000E+2	3.13315541E-2	5.89897019E-2	
-1.35000000E+2	1.98309107E-2	5.55329024E-2	
-1.30000000E+2	1.15686718E-2	5.10612281E-2	
-1.25000000E+2	7.58968791E-3	4.55375436E-2	
-1.20000000E+2	8.95580798E-3	3.93455968E-2	
-1.15000000E+2	1.68976796E-2	3.32811113E-2	
-1.10000000E+2	3.29674170E-2	2.85105105E-2	
-1.05000000E+2	5.91788337E-2	2.65469448E-2	
-1.00000000E+2	9.81289524E-2	2.92805397E-2	
-9.50000000E+1	1.53096210E-1	3.90812445E-2	
-9.00000000E+1	2.28106717E-1	5.89749610E-2	
-8.50000000E+1	3.27951318E-1	9.28782837E-2	
-8.00000000E+1	4.58125413E-1	1.45861726E-1	
-7.50000000E+1	6.24653579E-1	2.24391809E-1	
-7.00000000E+1	8.33755872E-1	3.36476269E-1	
-6.50000000E+1	1.09131657E+0	4.91605279E-1	
-6.00000000E+1	1.40213364E+0	7.00352814E-1	
-5.50000000E+1	1.76896175E+0	9.73491743E-1	
-5.00000000E+1	2.19141306E+0	1.32050634E+0	
-4.50000000E+1	2.66484407E+0	1.74748047E+0	
-4.00000000E+1	3.17941997E+0	2.25451162E+0	
-3.50000000E+1	3.71959208E+0	2.83303644E+0	
-3.00000000E+1	4.26422636E+0	3.46369652E+0	
-2.50000000E+1	4.78756296E+0	4.11552635E+0	
-2.00000000E+1	5.26106225E+0	4.74719393E+0	
-1.50000000E+1	5.65601665E+0	5.31068742E+0	
-1.00000000E+1	5.94661634E+0	5.75723729E+0	
-5.00000000E+0	6.11300291E+0	6.04454181E+0	
0.00000000E+0	6.14378100E+0	6.14378100E+0	
5.00000000E+0	6.03751499E+0	6.04472471E+0	
1.00000000E+1	5.80291546E+0	5.75760273E+0	
1.50000000E+1	5.45767560E+0	5.31123242E+0	
2.00000000E+1	5.02618510E+0	4.74790937E+0	
2.50000000E+1	4.53655626E+0	4.11639377E+0	
3.00000000E+1	4.01749282E+0	3.46468667E+0	
3.50000000E+1	3.49550136E+0	2.83411030E+0	
4.00000000E+1	2.99281133E+0	2.25562374E+0	
4.50000000E+1	2.52618048E+0	1.74858376E+0	
5.00000000E+1	2.10657413E+0	1.32155698E+0	
5.50000000E+1	1.73956175E+0	9.74453280E-1	
6.00000000E+1	1.42619594E+0	7.01198684E-1	
6.50000000E+1	1.16412580E+0	4.92319673E-1	
7.00000000E+1	9.48733257E-1	3.37053577E-1	
7.50000000E+1	7.74143763E-1	2.24835113E-1	
8.00000000E+1	6.34030940E-1	1.46180864E-1	
8.50000000E+1	5.22192965E-1	9.30878727E-2	
9.00000000E+1	4.32919709E-1	5.90926458E-2	
9.50000000E+1	3.61192753E-1	3.91262547E-2	
1.00000000E+2	3.02768249E-1	2.92725276E-2	
1.05000000E+2	2.54189336E-1	2.65050024E-2	
1.10000000E+2	2.12764729E-1	2.84522501E-2	
1.15000000E+2	1.76536252E-1	3.32217322E-2	
1.20000000E+2	1.44243233E-1	3.92969447E-2	
1.25000000E+2	1.15277927E-1	4.55072758E-2	
1.30000000E+2	8.96161584E-2	5.10522958E-2	
1.35000000E+2	6.77037830E-2	5.55436025E-2	
1.40000000E+2	5.02848010E-2	5.90144938E-2	
1.45000000E+2	3.81716031E-2	6.18505139E-2	
1.50000000E+2	3.19794040E-2	6.46198129E-2	
1.55000000E+2	3.18692974E-2	6.78287356E-2	
1.60000000E+2	3.73587052E-2	7.16779068E-2	
1.65000000E+2	4.72558701E-2	7.59196135E-2	
1.70000000E+2	5.97524680E-2	7.98949787E-2	
1.75000000E+2	7.26691675E-2	8.27581896E-2	
1.80000000E+2	8.38047695E-2	8.38047695E-2	
